pair_index,refseq_A,refseq_B,strand_A,strand_B,gene_A_start,gene_A_end,gene_B_start,gene_B_end,intergenic_distance,label,region_start,region_end,n_genes_between
1306,NP_415851.1,NP_415852.2,-1,-1,1399720,1400236,1400246,1401773,2053,1,1401773,1399720,0
1307,NP_415852.2,NP_415853.1,-1,-1,1400246,1401773,1401809,1403255,3009,1,1403255,1400246,0
1308,NP_415853.1,NP_415854.4,-1,-1,1401809,1403255,1403254,1404565,2756,1,1404565,1401809,0
1309,NP_415854.4,NP_415855.1,-1,1,1403254,1404565,1404740,1405649,2395,0,1405649,1403254,0
1317,NP_415860.1,NP_415861.1,-1,-1,1411012,1411948,1411999,1413235,2223,0,1413235,1411012,0
1322,NP_415865.1,NP_415866.1,-1,-1,1413983,1414793,1414785,1417386,3403,1,1417386,1413983,0
1323,NP_415866.1,NP_415867.1,-1,-1,1414785,1417386,1417487,1417763,2978,0,1417763,1414785,0
1340,NP_415888.1,NP_415890.2,-1,1,1427745,1428726,1429048,1432411,4666,0,1432411,1427745,0
1344,NP_415893.2,YP_009518787.1,-1,1,1433990,1434224,1632889,1633003,199013,0,1633003,1433990,0
1345,YP_009518787.1,NP_415894.4,1,-1,1632889,1633003,1435184,1435619,197819,0,1633003,1435184,0
1347,NP_415895.1,NP_415896.1,-1,-1,1435759,1436893,1437259,1440784,5025,1,1440784,1435759,0
1348,NP_415896.1,YP_588453.1,-1,1,1437259,1440784,1441057,1441324,4065,0,1441324,1437259,0
1351,NP_415898.1,NP_415899.1,-1,1,1441853,1442843,1443050,1445690,3837,0,1445690,1441853,0
1355,NP_415902.1,NP_415903.4,-1,1,1446377,1447283,1447518,1449018,2641,0,1449018,1446377,0
1357,NP_415904.3,NP_415905.1,-1,-1,1449075,1451349,1451596,1453642,4567,0,1453642,1449075,0
1358,NP_415905.1,NP_415906.1,-1,1,1451596,1453642,1453926,1454856,3260,0,1454856,1451596,0
1372,NP_418693.1,YP_026163.2,1,-1,4498594,4499500,2069814,2070180,2429686,1,4499500,2069814,0
1373,YP_026163.2,NP_418704.1,-1,-1,2069814,2070180,4507465,4508617,2438803,0,4508617,2069814,0
1374,NP_418704.1,NP_415924.1,-1,1,4507465,4508617,1474220,1475081,3032384,0,1475081,4507465,2789
1381,NP_415930.1,NP_415931.4,-1,1,1482254,1482860,1483060,1486963,4709,0,1486963,1482254,0
1389,NP_415937.1,NP_415938.1,-1,1,1491961,1492129,1492469,1494110,2149,0,1494110,1491961,0
1391,NP_415939.2,NP_415940.1,-1,1,1494147,1495071,1495287,1496631,2484,0,1496631,1494147,0
1396,NP_415945.1,NP_415946.1,-1,1,1499468,1500449,1500572,1501565,2097,0,1501565,1499468,0
1420,NP_415968.1,NP_415969.1,-1,1,1520962,1523065,1523306,1524368,3406,0,1524368,1520962,0
1422,NP_415970.4,NP_415971.1,-1,1,1524480,1525980,1526246,1526864,2384,0,1526864,1524480,0
1424,NP_415972.1,NP_415974.1,1,1,1526939,1527152,1529921,1530404,2769,0,1527152,1529921,0
1426,YP_009518780.1,NP_415977.1,-1,1,1530318,1530504,1531815,1532952,2634,0,1532952,1530318,0
1433,NP_415983.1,NP_415984.1,-1,-1,1536613,1537309,1537308,1538853,2240,1,1538853,1536613,0
1434,NP_415984.1,NP_415985.1,-1,-1,1537308,1538853,1538849,1542590,5282,1,1542590,1537308,0
1435,NP_415985.1,NP_415986.1,-1,-1,1538849,1542590,1542671,1544060,5211,1,1544060,1538849,0
1436,NP_415986.1,YP_009518781.1,-1,-1,1542671,1544060,1544757,1545714,3043,0,1545714,1542671,0
1439,NP_415990.5,NP_415991.1,-1,1,1546287,1547169,1547400,1550448,4161,0,1550448,1546287,0
1444,NP_415995.4,NP_415996.2,-1,-1,1552827,1553838,1553971,1555669,2842,0,1555669,1552827,0
1452,NP_416003.1,NP_416004.1,-1,-1,1559906,1560929,1560930,1562481,2575,1,1562481,1559906,0
1453,NP_416004.1,NP_416005.1,-1,-1,1560930,1562481,1562494,1563076,2146,1,1563076,1560930,0
1454,NP_416005.1,NP_416006.4,-1,-1,1562494,1563076,1563333,1565733,3239,0,1565733,1562494,0
1455,NP_416006.4,NP_416007.3,-1,-1,1563333,1565733,1565757,1567140,3807,1,1567140,1563333,0
1458,NP_416008.1,NP_416009.1,-1,-1,1567503,1568823,1568953,1570489,2986,0,1570489,1567503,0
1459,NP_416009.1,NP_416010.1,-1,-1,1568953,1570489,1570644,1572045,3092,1,1572045,1568953,0
1460,NP_416010.1,NP_416011.1,-1,-1,1570644,1572045,1572406,1575202,4558,0,1575202,1570644,0
1461,NP_416011.1,NP_416012.1,-1,-1,1572406,1575202,1575246,1577619,5213,0,1577619,1572406,0
1462,NP_416012.1,NP_416013.1,-1,-1,1575246,1577619,1577656,1579342,4096,1,1579342,1575246,0
1463,NP_416013.1,YP_009518784.1,-1,1,1577656,1579342,1579544,1579667,2011,0,1579667,1577656,0
1465,NP_416014.4,NP_416015.2,-1,-1,1579632,1580790,1580841,1582524,2892,1,1582524,1579632,0
1466,NP_416015.2,NP_416016.1,-1,-1,1580841,1582524,1582925,1583687,2846,0,1583687,1580841,0
1468,NP_416017.1,NP_416018.1,-1,-1,1583761,1583959,1584206,1586486,2725,0,1586486,1583761,0
1469,NP_416018.1,NP_416019.1,-1,-1,1584206,1586486,1586819,1587734,3528,0,1587734,1584206,0
1473,YP_009518785.1,NP_416024.1,-1,-1,1588852,1590001,1590853,1592176,3324,0,1592176,1588852,0
1475,NP_416025.1,NP_416028.3,-1,-1,1592175,1592442,1598616,1600209,8034,0,1600209,1592175,0
1476,NP_416028.3,NP_416029.1,-1,-1,1598616,1600209,1600287,1601241,2625,1,1601241,1598616,0
1477,NP_416029.1,NP_416030.1,-1,1,1600287,1601241,1601489,1603025,2738,0,1603025,1600287,0
1485,NP_416037.2,YP_025302.1,-1,-1,1608107,1609022,1609228,1610680,2573,0,1610680,1608107,0
1486,YP_025302.1,NP_416039.1,-1,-1,1609228,1610680,1610906,1611854,2626,0,1611854,1609228,0
1489,NP_416041.1,NP_416042.2,-1,-1,1612324,1613251,1613314,1614703,2379,1,1614703,1612324,0
1490,NP_416042.2,NP_416043.1,-1,1,1613314,1614703,1614803,1615685,2371,0,1615685,1613314,0
1498,NP_416050.4,NP_416051.1,-1,1,1620237,1621137,1621331,1622519,2282,0,1622519,1620237,0
1505,NP_416056.1,NP_416057.1,-1,1,1625334,1627380,1627516,1628263,2929,0,1628263,1625334,0
1509,NP_416060.1,YP_009518786.1,-1,-1,1629452,1630913,1631001,1632285,2833,0,1632285,1629452,0
1510,YP_009518786.1,YP_009518787.1,-1,1,1631001,1632285,1632889,1633003,2002,0,1633003,1631001,0
1549,NP_416093.1,YP_009518794.1,1,-1,1649793,1649985,1652727,1652838,2742,0,1649985,1652727,0
1551,NP_416097.1,NP_416098.1,-1,-1,1652895,1653915,1653926,1655141,2246,1,1655141,1652895,0
1564,NP_416110.4,NP_416111.1,-1,-1,1666523,1667219,1667343,1668564,2041,1,1668564,1666523,0
1565,NP_416111.1,NP_416112.1,-1,-1,1667343,1668564,1668698,1669592,2249,0,1669592,1667343,0
1566,NP_416112.1,NP_416113.1,-1,1,1668698,1669592,1669698,1670952,2254,0,1670952,1668698,0
1575,NP_416119.1,NP_416120.1,-1,-1,1674971,1676360,1676370,1677903,2932,1,1677903,1674971,0
1576,NP_416120.1,NP_416121.1,-1,1,1676370,1677903,1678426,1679371,3001,0,1679371,1676370,0
1584,NP_416128.1,NP_416129.1,-1,-1,1685184,1686588,1686730,1688377,3193,1,1688377,1685184,0
1585,NP_416129.1,NP_416130.3,-1,1,1686730,1688377,1688575,1689751,3021,0,1689751,1686730,0
1588,NP_416132.2,NP_416133.1,-1,-1,1691585,1692851,1692889,1694263,2678,1,1694263,1691585,0
1589,NP_416133.1,NP_416134.1,-1,-1,1692889,1694263,1694259,1696071,3182,1,1696071,1692889,0
1590,NP_416134.1,NP_416135.1,-1,-1,1694259,1696071,1696461,1697052,2793,0,1697052,1694259,0
1593,NP_416137.1,NP_416138.1,-1,1,1698151,1699180,1699354,1700947,2796,0,1700947,1698151,0
1610,NP_416153.1,NP_416154.1,-1,-1,1715025,1715889,1715947,1717222,2197,1,1717222,1715025,0
1611,NP_416154.1,NP_416155.1,-1,-1,1715947,1717222,1717350,1718007,2060,1,1718007,1715947,0
1634,NP_416176.1,YP_025306.1,-1,1,1738865,1739798,1739910,1741122,2257,0,1741122,1738865,0
1637,NP_416179.1,YP_025307.1,-1,1,1742600,1743242,1743456,1744830,2230,0,1744830,1742600,0
1639,NP_416181.1,NP_416182.1,-1,1,1744870,1746127,1746699,1747005,2135,0,1747005,1744870,0
1645,NP_416187.1,NP_416188.1,-1,-1,1751076,1751724,1751727,1753830,2754,1,1753830,1751076,0
1646,NP_416188.1,NP_416189.1,-1,-1,1751727,1753830,1753850,1754477,2750,1,1754477,1751727,0
1654,NP_416195.1,NP_416196.1,-1,-1,1759302,1760523,1760519,1761791,2489,1,1761791,1759302,0
1656,NP_416197.1,NP_416198.2,-1,-1,1761765,1762512,1762521,1764009,2244,1,1764009,1761765,0
1660,NP_416201.1,NP_416202.1,-1,-1,1765221,1765632,1765628,1768685,3464,1,1768685,1765221,0
1661,NP_416202.1,NP_416203.1,-1,1,1765628,1768685,1769073,1770186,4558,0,1770186,1765628,0
1676,NP_416217.1,NP_416218.1,-1,1,1784733,1787112,1787444,1788278,3545,0,1788278,1784733,0
1680,NP_416221.1,NP_416222.1,-1,-1,1789807,1791244,1791306,1792020,2213,0,1792020,1789807,0
1686,NP_416227.1,NP_416228.1,-1,-1,1795252,1795552,1795556,1797944,2692,1,1797944,1795252,0
1687,NP_416228.1,NP_416229.1,-1,-1,1795556,1797944,1797958,1798942,3386,1,1798942,1795556,0
1692,NP_416233.1,NP_416234.1,-1,-1,1800095,1800638,1800641,1802570,2475,1,1802570,1800095,0
1693,NP_416234.1,YP_588455.2,-1,1,1800641,1802570,1805164,1805272,4631,0,1805272,1800641,0
1704,NP_416245.2,YP_025308.1,-1,1,1813420,1813663,1813866,1816128,2708,0,1816128,1813420,0
1706,NP_416247.1,NP_416248.1,-1,-1,1816385,1817135,1817147,1818500,2115,1,1818500,1816385,0
1707,NP_416248.1,NP_416249.1,-1,-1,1817147,1818500,1818604,1819447,2300,1,1819447,1817147,0
1717,NP_416258.1,NP_416259.1,-1,-1,1825954,1826923,1826915,1828259,2305,1,1828259,1825954,0
1718,NP_416259.1,NP_416260.1,-1,-1,1826915,1828259,1828255,1829734,2819,1,1829734,1826915,0
1719,NP_416260.1,NP_416261.1,-1,-1,1828255,1829734,1829730,1830765,2510,1,1830765,1828255,0
1720,NP_416261.1,NP_416262.1,-1,-1,1829730,1830765,1830761,1831982,2252,1,1831982,1829730,0
1721,NP_416262.1,NP_416263.1,-1,1,1830761,1831982,1832427,1833234,2473,0,1833234,1830761,0
1735,NP_416276.4,NP_416277.1,-1,-1,1843830,1844871,1844998,1846960,3130,0,1846960,1843830,0
1736,NP_416277.1,NP_416278.1,-1,-1,1844998,1846960,1846964,1848008,3010,1,1848008,1844998,0
1738,NP_416279.1,NP_416280.1,-1,1,1848124,1848676,1848836,1850693,2569,0,1850693,1848124,0
1742,NP_416283.1,NP_416284.1,-1,-1,1852620,1853979,1854095,1854854,2234,0,1854854,1852620,0
1747,NP_416288.1,NP_416289.1,-1,-1,1857789,1858833,1858849,1860229,2440,1,1860229,1857789,0
1748,NP_416289.1,NP_416290.1,-1,-1,1858849,1860229,1860255,1861332,2483,1,1861332,1858849,0
1755,NP_416296.1,NP_416297.1,-1,1,1865725,1866472,1866907,1868842,3117,0,1868842,1865725,0
1763,NP_416304.1,NP_416305.1,-1,1,1874754,1875576,1875672,1876854,2100,0,1876854,1874754,0
1774,NP_416313.4,NP_416314.1,-1,1,1880885,1881809,1881911,1882997,2112,0,1882997,1880885,0
1779,NP_416318.1,NP_416319.1,-1,-1,1886863,1887991,1888060,1889746,2883,0,1889746,1886863,0
1780,NP_416319.1,NP_416320.1,-1,-1,1888060,1889746,1889950,1890532,2472,0,1890532,1888060,0
1782,NP_416321.1,NP_416322.1,-1,-1,1890571,1891267,1891324,1893235,2664,0,1893235,1890571,0
1783,NP_416322.1,NP_416323.4,-1,1,1891324,1893235,1893366,1893711,2387,0,1893711,1891324,0
1804,NP_416341.1,NP_416342.4,-1,1,1909307,1910099,1910275,1911649,2342,0,1911649,1909307,0
1806,NP_416343.1,NP_416344.1,-1,-1,1911694,1912576,1912767,1914816,3122,0,1914816,1911694,0
1807,NP_416344.1,YP_026161.1,-1,-1,1912767,1914816,1914835,1915534,2767,1,1915534,1912767,0
1822,NP_416359.1,NP_416360.1,-1,-1,1926778,1928839,1929047,1929707,2929,0,1929707,1926778,0
1827,NP_416364.1,NP_416365.1,-1,-1,1932114,1932756,1932792,1934604,2490,1,1934604,1932114,0
1828,NP_416365.1,NP_416366.1,-1,-1,1932792,1934604,1934838,1936314,3522,0,1936314,1932792,0
1829,NP_416366.1,NP_416367.1,-1,1,1934838,1936314,1936651,1937521,2683,0,1937521,1934838,0
1832,NP_416369.1,NP_416370.2,-1,-1,1939221,1940193,1940312,1941635,2414,0,1941635,1939221,0
1833,NP_416370.2,NP_416371.4,-1,-1,1940312,1941635,1941650,1942583,2271,0,1942583,1940312,0
1843,NP_416379.1,NP_416380.1,-1,-1,1948179,1948632,1948749,1950522,2343,0,1950522,1948179,0
1844,NP_416380.1,NP_416381.2,-1,1,1948749,1950522,1950831,1951398,2649,0,1951398,1948749,0
1850,NP_416386.4,NP_416387.1,-1,-1,1954577,1957007,1957031,1958132,3555,1,1958132,1954577,0
1851,NP_416387.1,YP_025309.2,-1,-1,1957031,1958132,1958519,1959266,2235,0,1959266,1957031,0
1853,NP_416389.4,NP_416390.1,-1,1,1959279,1959846,1960061,1961795,2516,0,1961795,1959279,0
1857,NP_416392.1,NP_416393.1,-1,-1,1962579,1962972,1962971,1965050,2471,1,1965050,1962579,0
1858,NP_416393.1,NP_416394.1,-1,-1,1962971,1965050,1965042,1966191,3220,1,1966191,1962971,0
1863,NP_416398.1,NP_416399.1,-1,-1,1968503,1969364,1969382,1970984,2481,1,1970984,1968503,0
1864,NP_416399.1,NP_416400.1,-1,-1,1969382,1970984,1971029,1972691,3309,1,1972691,1969382,0
1865,NP_416400.1,NP_416401.1,-1,-1,1971029,1972691,1972835,1973339,2310,0,1973339,1971029,0
1866,NP_416401.1,YP_010283911.1,-1,-1,1972835,1973339,1973359,1975324,2489,1,1975324,1972835,0
1868,NP_416402.2,NP_416403.1,-1,-1,1973359,1975033,1975328,1976255,2896,0,1976255,1973359,0
1872,NP_416406.4,YP_009518739.1,-1,-1,1977846,1978197,257922,258426,1719420,0,258426,1977846,1649
1874,YP_009518740.1,NP_416409.1,-1,1,258344,258620,1979752,1980181,1721837,0,1980181,258344,0
1876,NP_416410.1,NP_416411.1,-1,-1,1980187,1981612,1981586,1982387,2200,1,1982387,1980187,0
1878,YP_026162.2,NP_416413.1,-1,-1,1982553,1983540,1983554,1985069,2516,1,1985069,1982553,0
1879,NP_416413.1,NP_416414.1,-1,-1,1983554,1985069,1985138,1986128,2574,1,1986128,1983554,0
1880,NP_416414.1,NP_416415.1,-1,1,1985138,1986128,1986924,1987428,2290,0,1987428,1985138,0
1889,NP_416422.1,NP_416423.4,-1,-1,1992268,1992817,1992873,1994706,2438,0,1994706,1992268,0
1890,NP_416423.4,NP_416424.1,-1,-1,1992873,1994706,1994702,1995359,2486,1,1995359,1992873,0
1900,NP_416432.3,NP_416433.1,-1,-1,2001069,2001789,2002109,2003606,2537,0,2003606,2001069,0
1901,NP_416433.1,NP_416434.1,-1,1,2002109,2003606,2003871,2005278,3169,0,2005278,2002109,0
1911,NP_416447.1,NP_416448.1,-1,1,2012699,2013014,2013228,2014887,2188,0,2014887,2012699,0
1929,NP_416465.2,NP_416466.1,-1,-1,2026322,2028017,2028187,2028370,2048,0,2028370,2026322,0
1931,NP_416467.1,NP_416468.1,-1,1,2028448,2029366,2029538,2030459,2011,0,2030459,2028448,0
1934,NP_416470.1,NP_416471.1,-1,-1,2030898,2032317,2032383,2033079,2181,0,2033079,2030898,0
1936,NP_416472.3,NP_416476.1,-1,1,2033118,2033421,2035834,2036686,3568,0,2036686,2033118,0
1938,NP_416477.1,NP_416478.2,-1,-1,2036793,2038152,2038151,2038823,2030,1,2038823,2036793,0
1950,NP_416491.3,NP_416492.1,-1,-1,2058202,2059846,2059963,2060914,2712,0,2060914,2058202,0
1952,NP_416493.1,NP_416494.1,-1,-1,2061015,2061933,2062390,2063323,2308,0,2063323,2061015,0
1953,NP_416494.1,NP_416495.1,-1,-1,2062390,2063323,2063387,2064467,2077,0,2064467,2062390,0
1956,NP_416497.1,NP_416498.2,-1,-1,2065218,2065764,2066304,2067285,2067,0,2067285,2065218,0
1957,NP_418693.1,YP_026163.2,1,-1,4498594,4499500,2069814,2070180,2429686,1,4499500,2069814,0
1958,YP_026163.2,YP_026164.1,-1,1,2069814,2070180,2071538,2074658,4844,0,2074658,2069814,0
1971,NP_416514.4,NP_416515.1,-1,1,2081380,2082547,2082755,2084183,2803,0,2084183,2081380,0
1974,NP_416517.1,NP_416518.2,-1,-1,2084466,2085525,2085703,2087062,2596,0,2087062,2084466,0
1990,NP_416531.4,NP_416532.1,-1,-1,2097320,2098301,2098446,2099613,2293,0,2099613,2097320,0
1991,NP_416532.1,NP_416533.1,-1,-1,2098446,2099613,2099861,2101268,2822,0,2101268,2098446,0
1992,YP_009518770.2,NP_416536.1,1,-1,1396111,1397092,2103390,2104509,706298,0,1397092,2103390,694
1995,NP_416538.1,NP_416539.1,-1,-1,2105064,2106057,2106059,2107226,2162,0,2107226,2105064,0
1996,NP_416539.1,NP_416540.1,-1,-1,2106059,2107226,2107225,2108329,2270,1,2108329,2106059,0
1997,NP_416540.1,NP_416541.1,-1,-1,2107225,2108329,2108336,2109584,2359,0,2109584,2107225,0
2002,NP_416545.1,NP_416546.1,-1,-1,2111975,2113061,2113433,2114327,2352,0,2114327,2111975,0
2003,NP_416546.1,NP_416547.1,-1,-1,2113433,2114327,2114501,2115896,2463,0,2115896,2113433,0
2004,NP_416547.1,NP_416548.1,-1,-1,2114501,2115896,2115906,2117127,2626,1,2117127,2114501,0
2005,NP_416548.1,NP_416549.1,-1,-1,2115906,2117127,2117123,2118404,2498,1,2118404,2115906,0
2006,NP_416549.1,NP_416550.1,-1,-1,2117123,2118404,2118679,2120158,3035,0,2120158,2117123,0
2007,NP_416550.1,NP_416551.1,-1,-1,2118679,2120158,2120159,2121554,2875,1,2121554,2118679,0
2008,NP_416551.1,NP_416552.1,-1,-1,2120159,2121554,2121608,2122979,2820,1,2122979,2120159,0
2009,NP_416552.1,NP_416553.1,-1,-1,2121608,2122979,2123083,2124520,2912,1,2124520,2121608,0
2010,NP_416553.1,NP_416554.1,-1,-1,2123083,2124520,2124522,2125746,2663,1,2125746,2123083,0
2013,NP_416556.1,NP_416557.1,-1,-1,2126224,2127190,2127192,2128314,2090,1,2128314,2126224,0
2017,NP_416560.1,NP_416561.1,-1,-1,2129660,2130878,2130852,2132070,2410,1,2132070,2129660,0
2020,NP_416563.1,NP_416564.4,-1,-1,2132557,2133397,2133489,2135652,3095,1,2135652,2132557,0
2021,NP_416564.4,NP_416565.1,-1,-1,2133489,2135652,2135654,2136098,2609,1,2136098,2133489,0
2023,NP_416566.1,NP_416567.4,-1,1,2136103,2137243,2137901,2139485,3382,0,2139485,2136103,0
2025,NP_416568.1,NP_416569.1,-1,-1,2139758,2141612,2141633,2142215,2457,0,2142215,2139758,0
2027,NP_416570.2,NP_416571.1,-1,1,2142306,2142948,2143265,2146583,4277,0,2146583,2142306,0
2029,NP_416572.1,NP_416573.4,-1,1,2146691,2147540,2147673,2149026,2335,0,2149026,2146691,0
2031,NP_416574.1,NP_416575.1,-1,1,2149038,2150985,2151184,2151646,2608,0,2151646,2149038,0
2049,NP_416594.1,NP_416596.1,-1,-1,2171832,2172873,2174281,2174566,2734,1,2174566,2171832,0
2052,NP_416598.1,NP_416599.2,-1,-1,2175058,2176321,2176349,2177204,2146,1,2177204,2175058,0
2053,NP_416599.2,NP_416600.4,-1,-1,2176349,2177204,2177511,2178564,2215,0,2178564,2176349,0
2054,NP_416600.4,NP_416601.1,-1,1,2177511,2178564,2178820,2180098,2587,0,2180098,2177511,0
2065,NP_416611.1,NP_416612.1,-1,-1,2187379,2188414,2188429,2190910,3531,1,2190910,2187379,0
2066,NP_416612.1,NP_416613.1,-1,-1,2188429,2190910,2190925,2191645,3216,1,2191645,2188429,0
2070,NP_416616.4,NP_416617.1,-1,1,2193058,2194168,2194299,2196333,3275,0,2196333,2193058,0
2072,YP_009518799.1,NP_416621.1,1,1,2196473,2197298,2200278,2203911,2980,0,2197298,2200278,0
2081,NP_416629.4,NP_416630.1,-1,-1,2212242,2212962,2212958,2214644,2402,1,2214644,2212242,0
2082,NP_416630.1,NP_416631.1,-1,1,2212958,2214644,2214865,2215597,2639,0,2215597,2212958,0
2086,NP_416633.1,NP_416634.1,-1,-1,2216480,2217407,2217399,2218557,2077,1,2218557,2216480,0
2087,NP_416634.1,NP_416635.1,-1,-1,2217399,2218557,2218563,2219481,2082,1,2219481,2217399,0
2088,NP_416635.1,NP_416636.1,-1,-1,2218563,2219481,2219691,2221989,3426,0,2221989,2218563,0
2089,NP_416636.1,NP_416637.1,-1,1,2219691,2221989,2222184,2223900,4209,0,2223900,2219691,0
2094,NP_416641.1,YP_002791249.1,-1,1,2226508,2227270,2228981,2229065,2557,0,2229065,2226508,0
2104,NP_416653.1,NP_416654.1,-1,-1,2236742,2237753,2237768,2239289,2547,1,2239289,2236742,0
2105,NP_416654.1,NP_416655.1,-1,-1,2237768,2239289,2239349,2240348,2580,1,2240348,2237768,0
2106,NP_416655.1,NP_416656.1,-1,-1,2239349,2240348,2240627,2241668,2319,0,2241668,2239349,0
2107,NP_416656.1,NP_416657.1,-1,-1,2240627,2241668,2241809,2242967,2340,0,2242967,2240627,0
2111,NP_416660.1,NP_416661.1,-1,-1,2244777,2246769,2247062,2248532,3755,0,2248532,2244777,0
2112,NP_416661.1,NP_416662.1,-1,-1,2247062,2248532,2248736,2249618,2556,0,2249618,2247062,0
2113,NP_416662.1,NP_416663.1,-1,1,2248736,2249618,2249716,2250766,2030,0,2250766,2248736,0
2117,NP_416666.1,NP_416667.1,-1,-1,2252894,2254145,2254244,2255186,2292,0,2255186,2252894,0
2120,NP_416669.1,NP_416670.1,-1,-1,2256084,2257335,2257428,2258367,2283,0,2258367,2256084,0
2122,NP_416671.1,NP_416672.1,-1,-1,2258354,2259296,2259718,2261410,3056,0,2261410,2258354,0
2123,NP_416672.1,NP_416673.1,-1,-1,2259718,2261410,2261426,2262365,2647,1,2262365,2259718,0
2124,NP_416673.1,NP_416674.1,-1,-1,2261426,2262365,2262364,2263495,2069,1,2263495,2261426,0
2125,NP_416674.1,NP_416675.1,-1,1,2262364,2263495,2263862,2265044,2680,0,2265044,2262364,0
2140,NP_416688.1,NP_416689.1,-1,1,2279787,2280483,2280631,2282392,2605,0,2282392,2279787,0
2145,YP_009518770.2,NP_416697.1,1,1,1396111,1397092,2290499,2291147,893407,0,1397092,2290499,849
2148,NP_416699.1,NP_416700.1,-1,-1,2292406,2292964,2292960,2294904,2498,1,2294904,2292406,0
2149,NP_416700.1,NP_416701.1,-1,-1,2292960,2294904,2294900,2295380,2420,1,2295380,2292960,0
2158,NP_416709.1,NP_416710.1,-1,-1,2299564,2300260,2300266,2302753,3189,1,2302753,2299564,0
2159,NP_416710.1,NP_416711.1,-1,-1,2300266,2302753,2302749,2303013,2747,1,2303013,2300266,0
2164,NP_416714.1,NP_416715.1,-1,-1,2305107,2306754,2306971,2308615,3508,0,2308615,2305107,0
2165,NP_416715.1,NP_416716.1,-1,-1,2306971,2308615,2308690,2309341,2370,0,2309341,2306971,0
2167,NP_416717.1,NP_416718.1,-1,-1,2309340,2310405,2310478,2311534,2194,0,2311534,2309340,0
2168,NP_416718.1,NP_416719.1,-1,-1,2310478,2311534,2311645,2312749,2271,0,2312749,2310478,0
2169,NP_416719.1,NP_416720.1,-1,1,2311645,2312749,2313487,2316160,4515,0,2316160,2311645,0
2172,NP_416722.2,NP_416723.1,-1,1,2317026,2319876,2320042,2321869,4843,0,2321869,2317026,0
2179,NP_416729.1,NP_416730.1,-1,-1,2327366,2328143,2328147,2329797,2431,1,2329797,2327366,0
2180,NP_416730.1,NP_416732.4,-1,-1,2328147,2329797,2334335,2334959,6812,1,2334959,2328147,0
2181,NP_416732.4,NP_416733.4,-1,-1,2334335,2334959,2334955,2336644,2309,1,2336644,2334335,0
2182,NP_416733.4,NP_416734.1,-1,-1,2334955,2336644,2336792,2339420,4465,0,2339420,2334955,0
2183,NP_416734.1,NP_416735.1,-1,1,2336792,2339420,2339566,2340289,3497,0,2340289,2336792,0
2185,NP_416736.1,YP_009518802.1,-1,-1,2340416,2344169,2344593,2344737,4321,0,2344737,2340416,0
2186,YP_009518802.1,NP_416737.1,-1,1,2344593,2344737,2344864,2347150,2557,0,2347150,2344593,0
2191,NP_416740.1,NP_416742.1,-1,-1,2348821,2349472,2349934,2351011,2190,0,2351011,2348821,0
2192,NP_416742.1,NP_416743.1,-1,-1,2349934,2351011,2351015,2352374,2440,1,2352374,2349934,0
2193,NP_416743.1,NP_416744.1,-1,1,2351015,2352374,2352646,2354275,3260,0,2354275,2351015,0
2198,NP_416748.1,NP_416749.4,-1,-1,2358041,2358845,2358862,2360152,2111,1,2360152,2358041,0
2199,NP_416749.4,NP_416750.2,-1,-1,2358862,2360152,2360208,2361414,2552,1,2361414,2358862,0
2200,NP_416750.2,NP_416751.1,-1,-1,2360208,2361414,2361428,2362211,2003,1,2362211,2360208,0
2201,NP_416751.1,NP_416752.1,-1,-1,2361428,2362211,2362430,2363633,2205,0,2363633,2361428,0
2205,NP_416755.1,NP_416756.6,-1,1,2365017,2365620,2365909,2367067,2050,0,2367067,2365017,0
2214,NP_416763.1,NP_416764.1,-1,-1,2373647,2375003,2374999,2375962,2315,1,2375962,2373647,0
2217,NP_416766.1,NP_416767.1,-1,-1,2376833,2377592,2377588,2379259,2426,1,2379259,2376833,0
2218,NP_416767.1,NP_416768.4,-1,-1,2377588,2379259,2379347,2380643,3055,1,2380643,2377588,0
2224,NP_416773.1,NP_416774.2,-1,1,2383994,2385722,2385859,2386831,2837,0,2386831,2383994,0
2230,NP_416779.2,NP_416780.1,-1,-1,2390047,2391505,2391511,2393041,2994,1,2393041,2390047,0
2231,NP_416780.1,NP_416781.1,-1,-1,2391511,2393041,2393204,2395046,3535,1,2395046,2391511,0
2232,NP_416781.1,NP_416782.1,-1,-1,2393204,2395046,2395042,2395345,2141,1,2395345,2393204,0
2236,NP_416785.1,NP_416786.4,-1,-1,2396464,2397442,2397438,2400165,3701,1,2400165,2396464,0
2237,NP_416786.4,NP_416787.1,-1,-1,2397438,2400165,2400217,2401555,4117,1,2401555,2397438,0
2239,NP_416788.1,NP_416789.2,-1,-1,2401551,2402052,2402054,2403845,2294,1,2403845,2401551,0
2240,NP_416789.2,NP_416790.1,-1,-1,2402054,2403845,2403950,2404613,2559,1,2404613,2402054,0
2242,NP_416791.3,NP_416792.1,-1,-1,2404628,2405072,2405702,2406641,2013,0,2406641,2404628,0
2243,NP_416792.1,NP_416793.1,-1,1,2405702,2406641,2407560,2408778,3076,0,2408778,2405702,0
2246,NP_416795.1,NP_416796.2,-1,-1,2409519,2411352,2411438,2412089,2570,0,2412089,2409519,0
2265,NP_416814.1,NP_416815.1,-1,-1,2428056,2428626,2428720,2430238,2182,1,2430238,2428056,0
